path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	C_B	M_B_A	m_1	m_2	m_3	m_4
16	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
16	7	15	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
16	9	15	A=[a1,a1,b1,b1]	C_A	4	1	6	0	0	0	2	2	0	0
16	19	15	A=[a1,a1+b1,b1]	C_A	1	1	3	0	0	0	1	1	1	0
16	15	15	A=[a1+a1+b1,b1]	C_A	1	1	1	0	0	0	2	0	0	0
17	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
17	7	15	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
17	9	15	A=[a1,a1,b1,b1]	C_A	4	1	6	0	0	0	2	2	0	0
17	20	15	A=[a1,a1+b1,b1]	C_A	1	1	3	0	0	0	1	1	1	0
17	15	15	A=[a1+b1,a1+b1]	C_A	1	1	1	0	0	0	0	0	2	0
18	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
18	7	15	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
18	9	15	A=[a1,a1,b1,b1]	C_A	4	1	6	0	0	0	2	2	0	0
18	13	15	A=[a1,a1+b1,b1]	C_A	1	1	3	0	0	0	1	1	1	0
18	15	15	A=[a1,a1+b1+b1]	C_A	1	1	1	0	0	0	0	2	0	0
19	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
19	7	15	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
19	10	15	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
19	12	15	A=[a1,a1,b1+b1]	C_A	1	1	3	0	0	0	0	2	0	1
19	15	15	A=[a1+a1,b1+b1]	C_A	1	1	1	0	0	0	0	0	0	2
20	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
20	7	15	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
